DateAndTime , SolData , Irr. Unc. % , ISF (stable?) , Kipp&Zonen , Tamb , Isc a-Si , Voc a-Si , Vmp a-Si , Pmax a-Si , T a-Si , Isc 459 , Voc 459 , Vmp 459 , Pmax 459 , T 459 , Isc CIS , Voc CIS , Vmp CIS , Pmax CIS , T CIS , Isc NESTE , Voc NESTE , Vmp NESTE , Pmax NESTE , T NESTE , Isc 433 , Voc 433 , Vmp 433 , Pmax 433 , T 433 , Isc 422 , Voc 422 , Vmp 422 , Pmax 422 , T 422 , Isc A10160 , Voc A10160 , Vmp A10160 , Pmax A10160 , T A10160, Isc A10156 , Voc A10156 , Vmp A10156 , Pmax A10156 , T A10156 , Isc 423 , Voc 423 , Vmp 423 , Pmax 423 , T 423 , Isc GPV , Voc GPV , Vmp GPV , Pmax GPV , T GPV , Airmass , Elevation , Azimuth , ECT A10160 , ECT A10156 , GHI
 280615125316 , 986.009688 , 0.385230 , 0.006373 , 1024.088607 , 17.735291 , 4.124123 , 34.279849 , 26.375644 , 100.411483 , 45.826307 , 8.710174 , 34.341308 , 26.185238 , 211.873871 , 45.513300 , 4.231245 , 33.791867 , 25.814023 , 100.911784 , 46.324235 , 8.420398 , 33.640570 , 25.620118 , 200.536134 , 40.917794 , 8.708808 , 35.112727 , 26.722510 , 215.986750 , 39.502806 , 8.760711 , 34.470227 , 26.344457 , 213.353383 , 37.853123 , 8.962305 , 35.006936 , 26.587692 , 220.297369 , 42.774648, 8.882721 , 34.945763 , 26.765140 , 221.645459 , 38.283719 , 8.755938 , 34.625681 , 26.216916 , 211.603423 , 41.312160 , 8.247147 , 34.262907 , 26.368941 , 201.240362 , 43.986818 , 1.220935 , 54.353848 , -14.129181 , 49.105242 , 43.658969 , 831.967124
 280615125421 , 969.337754 , 0.429674 , 0.006762 , 1002.225256 , 17.698669 , 4.051796 , 34.263564 , 26.421793 , 99.013692 , 45.991880 , 8.552719 , 34.306870 , 26.210615 , 208.351502 , 46.000441 , 4.435823 , 33.759575 , 25.821791 , 99.377945 , 46.765424 , 8.859479 , 33.607362 , 25.714151 , 197.478897 , 41.036495 , 8.548788 , 35.100880 , 26.821857 , 212.512969 , 38.946543 , 8.598052 , 34.461161 , 26.469869 , 210.002305 , 37.884806 , 8.828583 , 34.988697 , 26.621633 , 217.054225 , 43.966308, 8.726960 , 34.942277 , 26.865223 , 218.321110 , 38.028854 , 8.652824 , 34.644762 , 26.259319 , 208.783622 , 40.505433 , 8.097997 , 34.246490 , 26.445269 , 198.425504 , 43.987156 , 1.220422 , 54.387474 , -13.712724 , 48.961560 , 43.407644 , 802.431871
 280615125523 , 982.791629 , 1.798681 , 0.021094 , 1013.357175 , 17.854309 , 4.081777 , 34.321441 , 26.395317 , 99.435596 , 45.994492 , 8.673496 , 34.366006 , 26.194248 , 211.440788 , 45.865681 , 4.191643 , 33.816848 , 25.836261 , 100.216252 , 46.897525 , 8.379461 , 33.666914 , 25.709734 , 199.156006 , 40.563672 , 8.671439 , 35.162478 , 26.795616 , 215.351716 , 39.726036 , 8.676174 , 34.526725 , 26.405920 , 212.399161 , 38.738210 , 8.877683 , 35.037733 , 26.531491 , 219.320222 , 43.613396, 8.810182 , 35.007167 , 27.001860 , 221.187193 , 38.117130 , 8.674902 , 34.701682 , 26.295652 , 210.502636 , 41.219046 , 8.157262 , 34.303905 , 26.472593 , 199.269370 , 44.159501 , 1.219934 , 54.419608 , -13.302218 , 48.798657 , 43.085292 , 799.288430
 280615125654 , 966.025944 , 0.349855 , 0.004553 , 1005.044053 , 17.538452 , 4.043366 , 34.367335 , 26.506436 , 99.288275 , 44.629035 , 8.503640 , 34.417386 , 26.353344 , 208.373595 , 44.633921 , 4.297408 , 33.877326 , 25.968012 , 99.659519 , 44.518992 , 8.580373 , 33.725407 , 25.826002 , 198.045184 , 40.071935 , 8.589064 , 35.196250 , 26.852333 , 212.814123 , 38.137446 , 8.577991 , 34.538567 , 26.566205 , 209.860011 , 36.572509 , 8.811935 , 35.103452 , 26.786647 , 217.625847 , 42.329686, 8.699740 , 35.036413 , 26.975987 , 218.598416 , 37.453097 , 8.599401 , 34.741143 , 26.444477 , 209.176828 , 40.031933 , 8.083730 , 34.349676 , 26.559836 , 198.975891 , 42.799027 , 1.219262 , 54.463847 , -12.714856 , 47.957157 , 42.550839 , 806.819592
 280615125755 , 958.971707 , 0.294541 , 0.005485 , 997.598842 , 17.437744 , 4.025520 , 34.303397 , 26.457737 , 98.301238 , 45.858425 , 8.461249 , 34.356325 , 26.231488 , 206.996080 , 45.639596 , 4.600577 , 33.821466 , 25.910742 , 98.764947 , 46.808716 , 9.161023 , 33.670119 , 25.731221 , 196.261725 , 40.509303 , 8.460837 , 35.144438 , 26.866696 , 211.062524 , 39.773440 , 8.526819 , 34.482498 , 26.490663 , 208.416592 , 38.967584 , 8.728140 , 35.032056 , 26.634878 , 215.543564 , 43.123014, 8.642779 , 34.978540 , 26.917521 , 216.669104 , 39.401227 , 8.531779 , 34.670791 , 26.339802 , 207.373367 , 41.268578 , 8.048595 , 34.285062 , 26.455656 , 196.996367 , 43.990058 , 1.218818 , 54.493177 , -12.309614 , 48.421556 , 42.921678 , 803.152243
 280615125855 , 960.797622 , 0.341466 , 0.005674 , 994.500984 , 17.497253 , 4.029036 , 34.289163 , 26.407563 , 98.336502 , 46.036284 , 8.494867 , 34.350344 , 26.278038 , 207.627012 , 45.472862 , 4.127795 , 33.814094 , 25.932675 , 98.946877 , 46.634146 , 8.252369 , 33.660094 , 25.776141 , 196.625301 , 40.399502 , 8.195311 , 35.093050 , 26.904354 , 205.550692 , 39.240975 , 8.412810 , 34.461144 , 26.383194 , 205.771014 , 38.881339 , 8.779667 , 35.033618 , 26.702576 , 215.947812 , 43.305758, 8.541676 , 34.961351 , 26.947997 , 215.135881 , 38.909104 , 8.379773 , 34.634922 , 26.343206 , 204.188148 , 40.931676 , 8.054100 , 34.271040 , 26.526414 , 197.062159 , 43.986479 , 1.218402 , 54.520670 , -11.916984 , 48.436331 , 43.106223 , 788.482849
 280615125954 , 911.069218 , 2.591614 , 0.028978 , 922.014929 , 17.456055 , 3.699169 , 34.305460 , 26.695679 , 91.975770 , 45.376508 , 8.204862 , 34.373251 , 26.551856 , 199.142592 , 44.719440 , 3.807833 , 33.812510 , 26.099459 , 91.451945 , 45.132816 , 7.612967 , 33.664102 , 26.030315 , 181.955487 , 40.155471 , 7.685861 , 35.006205 , 27.127263 , 192.116985 , 39.198747 , 7.725710 , 34.397900 , 26.702106 , 190.501128 , 37.773215 , 8.315811 , 35.062333 , 26.867038 , 208.289717 , 42.157341, 7.961146 , 34.957940 , 27.102772 , 203.321307 , 38.245651 , 7.425469 , 34.561068 , 26.653826 , 182.803484 , 40.695530 , 7.380247 , 34.288690 , 26.743429 , 184.271821 , 43.496581 , 1.218006 , 54.546845 , -11.530469 , 47.345114 , 42.294327 , 723.976810
 280615130057 , 965.416784 , 0.488968 , 0.007785 , 1005.274743 , 17.597961 , 4.026147 , 34.378751 , 26.526166 , 98.941461 , 45.554705 , 8.491183 , 34.438847 , 26.416636 , 208.568676 , 44.934641 , 4.135439 , 33.881939 , 25.987356 , 99.433285 , 46.248438 , 8.267895 , 33.731188 , 25.813799 , 197.596415 , 39.936546 , 8.496447 , 35.293238 , 26.937501 , 213.064102 , 38.443294 , 8.576204 , 34.626718 , 26.565285 , 210.520923 , 39.099781 , 8.797970 , 35.118559 , 26.781588 , 217.334803 , 41.361450, 8.688959 , 35.059085 , 27.035559 , 218.354418 , 38.815168 , 8.542705 , 34.736168 , 26.393519 , 208.406975 , 40.172982 , 8.052886 , 34.360477 , 26.577525 , 198.286920 , 43.512736 , 1.217599 , 54.573854 , -11.117293 , 47.822212 , 42.347658 , 807.867405
 280615130211 , 961.101700 , 0.414692 , 0.005784 , 1000.678282 , 17.657471 , 4.030587 , 34.293724 , 26.402290 , 98.445580 , 45.769907 , 8.466282 , 34.372531 , 26.367459 , 207.374818 , 45.822292 , 4.118040 , 33.795019 , 25.821791 , 98.831234 , 47.468879 , 8.229338 , 33.643236 , 25.652086 , 196.397224 , 40.341989 , 8.465513 , 35.182382 , 26.883269 , 211.613292 , 39.910667 , 8.534200 , 34.545267 , 26.450362 , 209.178155 , 40.516414 , 8.759803 , 35.030088 , 26.722168 , 215.901267 , 43.260773, 8.657291 , 34.969775 , 26.786961 , 217.027096 , 40.097717 , 8.531051 , 34.653931 , 26.215076 , 207.259074 , 40.960360 , 8.060700 , 34.275530 , 26.454301 , 197.281655 , 44.471395 , 1.217139 , 54.604333 , -10.631395 , 48.474045 , 43.033212 , 803.152243
 280615130314 , 974.255162 , 0.296776 , 0.004525 , 1012.215956 , 17.707825 , 4.074500 , 34.322359 , 26.415953 , 99.735653 , 45.377717 , 8.555901 , 34.407256 , 26.290801 , 209.771806 , 45.695126 , 4.633587 , 33.796247 , 25.941053 , 99.834192 , 46.653785 , 9.245212 , 33.644578 , 25.727178 , 198.386036 , 40.303292 , 8.615634 , 35.289086 , 26.954074 , 215.779550 , 38.450936 , 8.668329 , 34.601596 , 26.551207 , 212.667296 , 39.499371 , 8.851097 , 35.064712 , 26.718121 , 218.795378 , 42.729034, 8.775017 , 35.011465 , 26.923045 , 220.117536 , 39.523218 , 8.668618 , 34.696372 , 26.341274 , 210.601950 , 41.005490 , 8.150294 , 34.304330 , 26.499767 , 199.880526 , 44.245891 , 1.216771 , 54.628831 , -10.223827 , 48.425559 , 42.902936 , 810.290475
